كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه كلاس درس,نام كلاس درس,زمانبندي تشكيل كلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاكنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ كلاس,گروه آموزشي,دانشكده,واحد,استان,Column1
99062,ورزش 1,عملي,0,1,62,برادران - استاد  اصلي درس اقاي  قشقايي ,پنج شنبه  از 11:00 تا 12:45 ,فيروز حسيني پور,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,61,برادران - استاد  اصلي درس اقاي  قشقايي ,پنج شنبه  از 09:15 تا 11:00 ,فيروز حسيني پور,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,60,برادران - استاد  اصلي درس اقاي  قشقايي ,پنج شنبه  از 07:30 تا 09:15 ,فيروز حسيني پور,,18,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,59,خواهران - استاد اصلي درس خانم طاهري ,دوشنبه  از 14:30 تا 16:15 ,عظما صفري,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,58,خواهران - استاد اصلي درس خانم طاهري ,دوشنبه  از 12:45 تا 14:30 ,عظما صفري,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,57,خواهران - استاد اصلي درس خانم طاهري ,دوشنبه  از 11:00 تا 12:45 ,عظما صفري,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,56,خواهران - استاد اصلي درس خانم طاهري ,دوشنبه  از 09:15 تا 11:00 ,عظما صفري,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,55,خواهران - استاد اصلي درس خانم طاهري ,دوشنبه  از 07:30 تا 09:15 ,عظما صفري,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,54,برادران - ,شنبه  از 11:15 تا 13:00 ,محمدهادي برهاني,,20,,1405/10/05 از 08:00 تا 10:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99079,تربيت بدني,نظري_عملي,0.5,0.5,55,برادران - استاد اصلي درس اقاي شجاع مي باشد ,پنج شنبه  از 12:45 تا 14:30 ,عباس غلامپور,,20,,1405/10/06 از 08:00 تا 10:00 ,163 - شيراز- ورزشي توانا سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
